tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Lexus RX 350 2019,2650000000.0,Năm SX 2019,Na,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 43.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Hyundai Grand i10 2015,129000000.0,Năm SX 2015,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 98.000 km,"Tỉnh thành
Hà Nội",Hộp số Số sàn,Nhiên liệu Máy xăng
Suzuki Swift GL 1.2 CVT 2019,370000000.0,Năm SX 2019,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 100.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
MG ZS 1.5 2WD LUX+ 2025,525000000.0,Năm SX 2025,Kiểu dáng Crossover,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 1.000 km,"Tỉnh thành
Cần Thơ",Hộp số Số tự động,Nhiên liệu Máy xăng
Volkswagen Viloran Premium 2023,1738000000.0,Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 32.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Honda CR-V 1.5 G 2022,810000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 52.000 km,"Tỉnh thành
Bình Dương",Hộp số Số tự động,Nhiên liệu Máy xăng
Toyota Vios 1.5E MT 2020,320000000.0,Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 47.000 km,"Tỉnh thành
Kiên Giang",Hộp số Số sàn,Nhiên liệu Máy xăng
Mitsubishi Xpander 1.5 MT 2020,385000000.0,Năm SX 2020,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 54.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số sàn,Nhiên liệu Máy xăng
Toyota Innova 2016,330000000.0,Năm SX 2016,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 140.000 km,"Tỉnh thành
Đà Nẵng",Hộp số Số sàn,Nhiên liệu Máy xăng
Kia Seltos 1.4 Premium 2022,590000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 77.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Ford Everest Titanium 2.2L 4x2 AT 2016,570000000.0,Năm SX 2016,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 130.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy dầu
Kia Sorento 2WD 2.2 DATH 2014,425000000.0,Năm SX 2014,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 140.000 km,"Tỉnh thành
Đắk Nông",Hộp số Số tự động,Nhiên liệu Máy dầu
Lexus RX 350 2013,930000000.0,Năm SX 2013,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 79.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Hyundai Grand i10 Sedan 1.2 MT 2019,220000000.0,Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 111.111 km,"Tỉnh thành
Lâm Đồng",Hộp số Số sàn,Nhiên liệu Máy xăng
