tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Toyota Wigo 1.2 G At 2021,2880000000,2021,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,79000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mazda Cx-5 2019,6250000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,70000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Grand I10 Sedan 1.2 Mt 2020,2500000000,2020,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,200000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Mazda Cx-5 2.0 Deluxe 2018,5650000000,2018,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,69000,"Tỉnh Thành
Khánh Hòa",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Chevrolet Orlando Ltz 1.8 2016,3400000000,2016,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Nhập Khẩu,106000,"Tỉnh Thành
Bình Định",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mg Zs 1.5 2Wd Lux+ 2025,5250000000,2025,Kiểu Dáng Crossover,Tình Trạng Xe Cũ,Nhập Khẩu,1000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Hyundai Santa Fe 2.2 Dầu Cao Cấp 2024,12650000000,2024,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,13000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Lexus Es 250 2022,19990000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,46004,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Vios 1.5E Mt 2020,2960000000,2020,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,62000,"Tỉnh Thành
Bình Dương",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Mercedes-Benz Gls 450 2021,40990000000,2021,Na,Tình Trạng Xe Cũ,Nhập Khẩu,29000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Chevrolet Spark Ls 2012,1100000000,2012,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Trong Nước,98000,"Tỉnh Thành
Đồng Nai",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Jeep Wrangler Rubicon 2021,24490000000,2021,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,43000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Suzuki Swift 2019,4300000000,2019,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,68978,"Tỉnh Thành
Đà Nẵng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Morning Mt 2015,1430000000,2015,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,11000,"Tỉnh Thành
Bình Dương",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Jeep Wrangler Rubicon 2021,24490000000,2021,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,43000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Suzuki Swift 2019,4300000000,2019,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,68978,"Tỉnh Thành
Đà Nẵng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Morning Mt 2015,1430000000,2015,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,11000,"Tỉnh Thành
Bình Dương",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Ford Everest Limited 2009,3050000000,2009,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,170000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Chevrolet Colorado  2018,4200000000,2018,Kiểu Dáng Bán Tải,Tình Trạng Xe Cũ,Nhập Khẩu,110000,"Tỉnh Thành
Long An",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Chevrolet Spark 1.2 Mt 2011,1180000000,2011,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,70000,"Tỉnh Thành
An Giang",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Toyota Alphard Executive Lounge 2019,29990000000,2019,Kiểu Dáng Van/Minivan,Tình Trạng Xe Cũ,Nhập Khẩu,83008,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Porsche Cayenne Coupe 2022,45990000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,22222,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mazda 6 2.0 Premium 2023,6950000000,2023,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,37000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mazda 3 Sedan 1.5L Premium 2022,6150000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,12000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Carnival 2.2D Signature 2022,11750000000,2022,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,70000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Dầu
Mazda 3 Sedan 1.5L Luxury 2022,5700000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,23000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Kia Sorento 2.5G Premium 2022,9190000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,30000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Lexus Es 250 2022,21900000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,28000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ecosport Titanium 1.5L At 2019,3990000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,39000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ecosport Titanium 1.5L At 2019,3990000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,39000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Fortuner 2.7 V 4X4 At 2010,3200000000,2010,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,114000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
